asset_id,host_name,ip_address,mac_address,last_assessed_for_vulnerabilities,asset_riskscore,vulnerability_description,vulnerability_title,vulnerability_severity,vulnerability_riskscore
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>This security update resolves three privately reported vulnerabilities and one publicly disclosed vulnerability in Microsoft Windows. The most severe of these vulnerabilities could allow elevation of privilege if an attacker logs on to the system and runs a specially crafted application. An attacker must have valid logon credentials and be able to log on locally to exploit the most severe vulnerabilities.</p>
  ",MS13-036: Vulnerabilities in Kernel-Mode Driver Could Allow Elevation Of Privilege (2829996),Severe,289.45306396484375
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>An information disclosure vulnerability exists when the Windows GDI component improperly discloses the contents of its memory. An attacker who successfully exploited the vulnerability could obtain information to further compromise the user&#8217;s system.
There are multiple ways an attacker could exploit the vulnerability, such as by convincing a user to open a specially crafted document, or by convincing a user to visit an untrusted webpage.
The security update addresses the vulnerability by correcting how the Windows GDI component handles objects in memory.
</p>
  ",Microsoft CVE-2019-0758: Windows GDI Information Disclosure Vulnerability,Severe,263.9537353515625
13,fortigate-vm02.vuln.lax.rapid7.com,10.4.22.129,00:50:56:94:42:6b,2020-06-16 08:06:00.615,7311.62422180175781,"
    
<p>The OpenSSL ECDSA signature algorithm has been shown to be vulnerable to a timing side channel attack. An attacker could use variations in the signing algorithm to recover the private key. Fixed in OpenSSL 1.1.0j (Affected 1.1.0-1.1.0i). Fixed in OpenSSL 1.1.1a (Affected 1.1.1).</p>
  ",OpenSSL Timing vulnerability in ECDSA signature generation (CVE-2018-0735),Severe,297.138153076171875
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>This security update resolves a publicly disclosed vulnerability in Internet Explorer. The vulnerability could allow remote code execution if a user views a specially crafted webpage using an affected version of Internet Explorer. An attacker who successfully exploited this vulnerability could gain the same user rights as the current user. Users whose accounts are configured to have fewer user rights on the system could be less impacted than users who operate with administrative user rights.</p>
  ",MS14-021: Security Update for Internet Explorer (2965111),Critical,892.3052978515625
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>An elevation of privilege vulnerability exists when the Windows kernel fails to properly handle objects in memory. An attacker who successfully exploited this vulnerability could run arbitrary code in kernel mode. An attacker could then install programs; view, change, or delete data; or create new accounts with full user rights.
To exploit this vulnerability, an attacker would first have to log on to the system. An attacker could then run a specially crafted application to take control of an affected system.
The update addresses the vulnerability by correcting how the Windows kernel handles objects in memory.
</p>
  ",Microsoft CVE-2017-8694: Windows Kernel Elevation of Privilege Vulnerability,Severe,446.14996337890625
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>A remote code execution vulnerability exists in the way that the Microsoft Server Message Block 1.0 (SMBv1) server handles certain requests. An attacker who successfully exploited the vulnerability could gain the ability to execute code on the target server.
To exploit the vulnerability, in most situations, an authenticated attacker could send a specially crafted packet to a targeted SMBv1 server.
The security update addresses the vulnerability by correcting how SMBv1 handles these specially crafted requests.
</p>
  ",Microsoft CVE-2017-0272: Windows SMB Remote Code Execution Vulnerability,Critical,569.629638671875
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>An information disclosure exists in the Windows Common Log File System (CLFS) driver when it fails to properly handle sandbox checks. An attacker who successfully exploited this vulnerability could potentially read data outside their expected limits.
To exploit the vulnerability, an attacker would first have to log on to the system, and then run a specially crafted application.
The security update addresses the vulnerability by correcting how CLFS handles sandbox checks.
</p>
  ",Microsoft CVE-2019-1282: Windows Common Log File System Driver Information Disclosure Vulnerability,Moderate,199.789993286132812
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>An elevation of privilege vulnerability exists in Windows Error Reporting (WER) when WER handles and executes files. The vulnerability could allow elevation of privilege if an attacker can successfully exploit it.
An attacker who successfully exploited the vulnerability could gain greater access to sensitive information and system functionality. To exploit the vulnerability, an attacker could run a specially crafted application.
The security update addresses the vulnerability by correcting the way that WER handles and executes files.
</p>
  ",Microsoft CVE-2019-1319: Windows Error Reporting Elevation of Privilege Vulnerability,Severe,296.8050537109375
18,vagrant-pc,10.0.2.15,08:00:27:33:9f:ce,2020-03-26 10:04:24.218,412228.595520019531,"
    
<p>An elevation of privilege vulnerability exists in the way that the Windows Search Indexer handles objects in memory. An attacker who successfully exploited the vulnerability could execute code with elevated permissions.
To exploit the vulnerability, a locally authenticated attacker could run a specially crafted application.
The security update addresses the vulnerability by ensuring the Windows Search Indexer properly handles objects in memory.
</p>
  ",Microsoft CVE-2020-0625: Windows Search Indexer Elevation of Privilege Vulnerability,Severe,218.21014404296875
15,cuckoo-2-0-5.vuln.lax.rapid7.com,10.4.23.176,00:50:56:94:8e:71,2020-06-16 08:04:05.417,18454.3276290893555,"
    
<p>
      A Domain Name Server (DNS) amplification attack is a popular form of
      distributed denial of service (DDoS) that relies on the use of publically
      accessible open DNS servers to overwhelm a victim system with DNS response
      traffic.
    </p>
    
<p>
      A Domain Name Server (DNS) Amplification attack is a popular form of
      Distributed Denial of Service (DDoS), in which attackers use publically
      accessible open DNS servers to flood a target system with DNS response traffic.
      The primary technique consists of an attacker sending a DNS name lookup request
      to an open DNS server with the source address spoofed to be the target&#39;s
      address. When the DNS server sends the DNS record response, it is sent instead
      to the target. Attackers will typically submit a request for as much zone
      information as possible to maximize the amplification effect. In most attacks
      of this type observed by US-CERT, the spoofed queries sent by the attacker are
      of the type, &quot;ANY&quot; which returns all known information about a DNS zone in a
      single request. Because the size of the response is considerably larger than
      the request, the attacker is able to increase the amount of traffic directed at
      the victim. By leveraging a botnet to produce a large number of spoofed DNS
      queries, an attacker can create an immense amount of traffic with little
      effort. Additionally, because the responses are legitimate data coming from
      valid servers, it is extremely difficult to prevent these types of attacks.
      While the attacks are difficult to stop, network operators can apply several
      possible mitigation strategies.
    </p>
    
<p>
      While the most common form of this attack that US-CERT has observed
      involves DNS servers configured to allow unrestricted recursive resolution for
      any client on the Internet, attacks can also involve authoritative name servers
      that do not provide recursive resolution. The attack method is similar to open
      recursive resolvers, but is more difficult to mitigate since even a server
      configured with best practices can still be used in an attack. In the case of
      authoritative servers, mitigation should focus on using Response Rate Limiting
      to restrict the amount of traffic.
    </p>
  ",DNS Traffic Amplification,Moderate,0
